"1","374","0","1100","","","2000"
"2","374","1","1100","","","2100"
"3","374","2","1100","","","2100"
"4","374","3","1100","","","2100"
"5","374","4","1100","","","2100"
"6","374","5","1100","","","2100"
"7","374","6","1100","","","2100"
"8","394","0","1100","","","2000"
"9","394","1","1100","","","2100"
"10","394","2","1100","","","2100"
"11","394","3","1100","","","2100"
"12","394","4","1100","","","2100"
"13","394","5","1100","","","2100"
"14","394","6","1100","","","2100"
"15","404","0","0","","","0"
"16","404","1","0","","","0"
"17","404","2","0","","","0"
"18","404","3","0","","","0"
"19","404","4","0","","","0"
"20","404","5","0","","","0"
"21","404","6","0","","","0"
"22","414","0","1100","","","2100"
"23","414","1","1100","","","2100"
"24","414","2","1100","","","2100"
"25","414","3","1100","","","2100"
"26","414","4","1100","","","2100"
"27","414","5","1100","","","2100"
"28","414","6","1100","","","2100"
"28","424","0","1200","","","2000"
"28","424","1","1200","","","2000"
"28","424","2","1200","","","2000"
"28","424","3","1200","","","2000"
"28","424","4","1200","","","2000"
"28","424","5","1200","","","2000"
"28","424","6","1200","","","2000"
"28","444","0","0","","","0"
"28","444","1","0","","","0"
"28","444","2","0","","","0"
"28","444","3","0","","","0"
"28","444","4","0","","","0"
"28","444","5","0","","","0"
"28","444","6","0","","","0"
"28","454","0","1200","","","2000"
"28","454","1","1200","","","2000"
"28","454","2","1200","","","2000"
"28","454","3","1200","","","2000"
"28","454","4","1200","","","2000"
"28","454","5","1200","","","2000"
"28","454","6","1200","","","2000"
"28","464","0","1200","","","1930"
"28","464","1","1200","","","1930"
"28","464","2","1200","","","1930"
"28","464","3","1200","","","1930"
"28","464","4","1200","","","1930"
"28","464","5","1200","","","1930"
"28","464","6","1200","","","1930"
"28","474","0","1100","","","2000"
"28","474","1","1100","","","2000"
"28","474","2","1100","","","2000"
"28","474","3","1100","","","2000"
"28","474","4","1100","","","2000"
"28","474","5","1100","","","2000"
"28","474","6","1100","","","2000" 
"28","484","0","1130","","","2000"
"28","484","1","1130","","","2000"
"28","484","2","1130","","","2000"
"28","484","3","1130","","","2000"
"28","484","4","1130","","","2000"
"28","484","5","1130","","","2000"
"28","484","6","1130","","","2000"
"28","494","0","1200","","","1930"
"28","494","1","1200","","","2000"
